pos,bib,name,team,category,rank,nationality,time,timediff,Col de Voza,Les Contamines,La Balme,Refuge Croix du Bonhomme,Les Chapieux CCAS,Col de la Seigne,Refuge Elisabetta,Arête Mont-Favre,Col Chécrouit - Maison Vieille,Courmayeur - Dolonne,Refuge Bertone,Refuge Bonatti,Arnuva,Grand Col Ferret,La Peulaz,La Fouly,Praz de Fort,Champex Lac,Bovine,Trient,Les Tseppes,Vallorcine,Argentière,Chamonix - Arrivée,col de voza_pos,les contamines_pos,la balme_pos,refuge croix du bonhomme_pos,les chapieux ccas_pos,col de la seigne_pos,refuge elisabetta_pos,arête mont-favre_pos,col chécrouit - maison vieille_pos,courmayeur - dolonne_pos,refuge bertone_pos,refuge bonatti_pos,arnuva_pos,grand col ferret_pos,la peulaz_pos,la fouly_pos,praz de fort_pos,champex lac_pos,bovine_pos,trient_pos,les tseppes_pos,vallorcine_pos,argentière_pos,chamonix - arrivée_pos
1095,2994,GROSS Yves,VILLE DE HAGUENEAU,V1 H,1095,FR,44:09:59,23:03:53.000000,5053,7607,10271,,15516,19385,20960,23463,24316,53379,31221,33790,36006,40310,,45713,49920,53136,61385,66658,128011,73874,77748,83033,636,1699,950,-1,1474,1113,560,1523,965,708,1529,785,1380,1573,-1,775,850,970,1061,1129,987,1029,1087,1096
1096,1511,DE MAREZ Ludovic,ACP CROLLES,SE H,1097,FR,44:11:22,23:05:16.000000,4494,7198,9919,,15715,21460,23238,26424,28772,58020,33935,36737,39681,42547,,46679,50864,53551,61654,67291,131523,,80458,83116,380,2240,2230,-1,1990,1510,1261,542,966,1530,565,628,1544,709,-1,770,831,1072,1000,1020,1107,-1,1121,1097
1097,3038,VANDIJCK Wesley,,SE H,1098,Be,44:13:57,23:07:51.000000,4027,4901,7780,,13008,17688,19316,22127,23753,53345,31543,34447,36920,39859,,44816,50017,52965,63103,67646,128933,73802,78091,83271,1757,606,778,-1,759,718,656,1370,435,454,1755,1747,957,711,-1,774,974,892,911,1044,1036,1028,1119,1098
1098,734,GRENON Philippe,COURIR EN LAYON,V1 H,1099,FR,44:15:01,23:08:55.000000,4465,6010,8322,,13427,17332,18781,21043,22272,51656,29125,31874,35055,38214,,43518,49979,54383,63489,68469,130435,75908,79619,83335,590,1992,1511,-1,1290,419,417,1283,436,1972,415,887,1535,898,-1,741,901,894,1066,1001,1032,1037,1078,1099
1099,1759,CABARET Francois,LNA LONGUENESSE NATURE AVENTURE,V1 H,1100,FR,44:16:07,23:10:01.000000,3528,4406,6418,,11087,15978,,20178,22005,51097,29714,33131,35263,39248,,42543,47394,53370,65737,69067,130893,74982,79701,83401,289,350,2336,-1,1325,1600,-1,824,1974,457,813,809,898,899,-1,1306,689,783,1005,1124,1051,1102,1053,1100
1100,733,BARILLE Agnes,ASSOCIATION COURIR EN LAYON,V1 F,1101,FR,44:16:14,23:10:08.000000,4534,6023,8821,,14182,19630,21233,23973,25351,54726,33042,37340,39676,44197,,50085,54783,57901,65453,69021,131495,75905,79615,83408,441,575,547,-1,1510,885,865,963,507,898,885,1297,899,944,-1,831,1017,873,1137,1133,1137,1149,1101,1101
1101,1747,CASTANO Francisco,MONTBELIARD-TRIATHLON,V1 H,1102,Fr,44:17:41,23:11:35.000000,3670,4361,6970,,12256,18052,19118,20592,21807,50365,28677,31472,34223,37520,,42483,46292,50009,63098,68826,129951,75043,78844,83495,286,2244,591,-1,662,942,415,964,1153,640,1101,1760,767,753,-1,1120,1076,849,986,905,988,1098,1088,1102
1102,2510,DESCATEAUX Christophe,,SE H,1103,FR,44:17:51,23:11:45.000000,5264,7129,9370,,14433,17692,18587,20644,21771,50279,27289,30108,33159,37441,,40347,44907,47303,57916,63383,127057,72017,78637,83505,277,737,1275,-1,485,1527,1906,965,1323,944,1545,1560,735,669,-1,791,919,877,925,904,985,1117,1104,1103
1103,1614,MICHEL François,,V2 H,1104,FR,44:18:09,23:12:03.000000,4969,7251,9564,,14680,18863,20053,22750,24304,53471,32180,35592,38318,41768,,46283,51366,55359,64235,68616,129719,74914,79128,83523,992,1393,881,-1,1979,1976,624,685,1751,1528,613,1321,699,682,-1,849,1028,1010,926,944,1090,1030,1128,1104
1104,1470,JACQUEMAIN Joel,,V2 H,1105,Fr,44:18:56,23:12:50.000000,4373,6080,8674,,13896,18771,20120,22680,23982,52955,31234,36038,39361,44395,,49172,56259,58769,66514,69235,130887,75359,78847,83570,718,167,908,-1,779,1978,552,825,901,768,739,1744,1530,772,-1,780,610,848,924,1145,1120,1085,1150,1105
1105,2617,LALOUE Bruno,LE MANS ATHLETISME 72 ( LMA 72 ),V2 H,1106,FR,44:19:08,23:13:02.000000,4883,7082,9657,,14941,19698,21139,23569,24968,55116,33332,35682,38014,42128,,48157,52900,56021,64762,68805,129733,74592,77862,83582,1395,817,657,-1,2007,314,870,1946,1536,1550,663,902,669,1303,-1,1101,790,1316,854,1005,1121,1100,1118,1107
1106,2736,BERRUBE Thierry,,SE H,1106,FR,44:19:08,23:13:02.000000,5264,7130,9369,,14919,18901,20475,22717,25219,54823,30460,33449,35512,38454,,42578,47169,51739,62783,68539,129546,74449,78640,83582,1837,1510,386,-1,824,2002,1088,1964,887,1503,526,960,1740,1536,-1,682,1243,837,1062,1093,1044,1107,1063,1106
1107,2616,FERCHAUD Alain,LE MANS ATHLETISME 72,V1 H,1108,FR,44:19:11,23:13:05.000000,4343,5867,8383,,13749,17809,18997,21109,22404,51418,31794,34470,36932,40751,,46010,50592,53543,61589,67257,128558,73713,77857,83585,1394,756,1545,-1,777,1683,1459,1729,948,1973,550,886,810,975,-1,784,796,1008,1110,976,921,1049,1052,1108
1108,2559,ORRU Italo,,V1 H,1109,IT,44:20:46,23:14:40.000000,5557,8425,11194,,17399,21516,22851,,27510,56549,34053,36715,,43809,,49369,54772,57840,65051,67560,129015,75149,80648,83680,169,2006,1746,-1,2017,864,1422,-1,990,1974,1746,888,-1,668,-1,1538,1258,1009,1079,1055,1019,1048,1058,1109
1109,2626,RUSTENHOLTZ Karen,AS MONACO TRIATHLON,SE F,1110,Fr,44:21:28,23:15:22.000000,4182,6327,8754,,14157,18185,19352,21108,22390,52073,29128,31188,34214,36550,,41393,45811,48644,56757,62356,123689,69830,75648,83722,438,1739,1510,-1,459,555,1479,1761,1902,1975,742,1531,1541,1307,-1,809,647,964,1067,1023,1018,1151,1075,1110
1110,1329,GILMOUR Tony,,V2 H,1111,GB,44:22:10,23:16:04.000000,5161,8453,11825,,18104,22700,24485,27311,28792,58777,35729,39116,41452,45343,,50919,55555,58289,65510,68968,131162,76460,79583,83764,813,1895,373,-1,1996,506,528,1758,912,738,1743,1524,1696,641,-1,864,878,1011,1029,1079,1139,1054,1050,1111
1111,2625,FOISSY Jean Louis,AS MONACO TRIATHLON,V1 H,1112,Fr,44:22:37,23:16:31.000000,4180,6325,8753,,14155,18184,19354,21017,22389,52071,29054,31163,34183,36548,,41387,45809,48696,56741,62347,123686,69819,75632,83791,619,456,2013,-1,960,416,1423,642,1562,1284,780,531,1741,991,-1,1539,903,963,987,1032,1069,1123,1103,1112
1112,1249,CHALLANGE David,,SE H,1113,Fr,44:23:32,23:17:26.000000,5150,8533,10955,,15481,20560,21342,23571,24543,53158,32062,34681,37946,40386,,45114,48829,52231,64521,69109,130454,75795,78774,83846,1191,378,283,-1,767,736,786,765,1117,985,784,917,1553,988,-1,1540,907,838,1006,913,1067,1080,1074,1113
1113,1306,BOUTSEN Yves,,V1 H,1114,BE,44:24:47,23:18:41.000000,5174,8166,11395,,16975,22199,23581,26221,27467,56531,35067,39873,42041,45319,,50458,55860,57653,67128,69032,131228,75732,79724,83921,2237,429,1556,-1,1511,455,634,1960,543,1143,554,1752,1742,754,-1,586,921,993,1120,1209,1087,1078,1079,1114
1114,1137,MAILLET Emmanuel,,SE H,1115,Fr,44:24:48,23:18:42.000000,5150,8535,10957,,15460,20561,21339,23573,24544,53161,32064,34680,37903,40389,,45126,48826,52234,64517,69125,130448,75812,78778,83922,953,650,347,-1,1751,573,1273,801,1288,1540,578,1382,1743,1698,-1,858,1246,1317,1052,856,1046,1130,1110,1116
1115,1374,DE THIER Tanguy,ARCH,V1 H,1115,BE,44:24:48,23:18:42.000000,5174,8123,11385,,16982,22175,23565,26227,27470,56536,35114,39865,41967,45505,,50452,55856,57655,67104,69339,131177,75727,79736,83922,799,266,793,-1,1545,1487,1161,418,709,464,886,742,1208,866,-1,788,957,959,839,979,1103,1103,1100,1115
1116,2353,PIOVESANA giovanni,,SE H,1117,It,44:26:10,23:20:04.000000,5596,8538,11790,,17560,23443,24658,27092,28775,56980,34581,36629,39191,42455,,46497,50489,54049,64779,68741,128976,73846,76876,84004,1436,932,334,-1,391,1488,668,366,1509,671,1748,1520,1382,867,-1,789,959,920,994,1126,1101,1053,1098,1117
1117,1022,DUCROT Thierry,CMBM,V1 H,1118,FR,44:26:20,23:20:14.000000,5257,8400,11626,,16553,20744,22300,25411,26759,56799,33325,36113,38695,42127,,46944,53691,56990,65426,70208,131086,76614,80339,84014,1489,1799,660,-1,762,1491,1086,1297,1118,1976,1742,1102,1203,752,-1,843,958,811,1189,1127,1128,1052,1124,1118
1118,959,VILLEMINOT Jean-Marc,TRAILERS DU MONT BLANC - MEGEVE,V1 H,1119,FR,44:28:06,23:22:00.000000,4638,6824,9583,,14302,19641,21202,23514,24964,54043,32782,35545,38390,41764,,47258,53429,57422,66271,69049,129847,75011,78868,84120,1472,822,1149,-1,774,1351,1424,447,414,777,1760,918,503,1541,-1,842,844,934,918,1091,1115,1058,1152,1119
1119,1691,LAVALLEE teddy,BSPP,SE H,1120,Fr,44:28:23,23:22:17.000000,3499,3666,5989,,10603,15689,,19570,20465,49206,26607,31071,34225,37951,,41498,46614,51189,63022,67743,129443,74753,78826,84137,1300,662,1600,-1,773,963,-1,910,1971,988,693,1542,889,1538,-1,1541,846,770,1046,971,1116,1125,1131,1120
1120,1770,BOUVILLE Christophe,,SE H,1120,FR,44:28:23,23:22:17.000000,3497,3655,5984,,10592,15692,,19576,20482,49214,26908,31069,34247,38000,,41879,46297,50986,63026,67773,129554,74249,78809,84137,1733,544,2422,-1,1498,961,-1,898,1119,835,696,772,1516,565,-1,868,718,933,1049,1157,1119,1126,1139,1121
1121,1772,DUBOIS Cedric,CLUB OLYMPIQUE CHALONNAIS,SE H,1122,FR,44:28:24,23:22:18.000000,3497,3667,5986,,10350,15682,,19568,20499,49208,26600,31074,34242,37925,,40314,44234,50726,63033,67611,129426,74274,78823,84138,2478,1827,242,-1,2002,962,-1,598,286,1977,495,898,772,785,-1,1542,960,851,1024,1085,1130,1137,1099,1122
1122,143,DUBOULOZ hubert,FOULEE ANNEMASSE (UFO),V2 H,1123,Fr,44:28:53,23:22:47.000000,4443,7090,9625,,14766,19949,20972,23809,24699,55156,33003,36947,39653,43743,,49769,54572,56604,64449,69398,131199,75612,79746,84167,1780,486,712,-1,1018,408,1457,1290,1508,415,628,899,1017,781,-1,1543,808,1124,1074,1046,1131,1121,1082,1123
1123,1261,DUBOULOZ martine,FOULEE ANNEMASSE,V2 F,1124,Fr,44:28:54,23:22:48.000000,4449,7089,9792,,16016,19991,21554,23900,25779,55995,33778,36945,39784,43749,,49764,54574,56602,64466,69369,131198,75620,79745,84168,390,482,1151,-1,486,896,632,509,1749,1978,761,735,635,1539,-1,887,1151,1318,1047,941,1038,1122,1113,1124
1124,2114,LE LANNIC Vincent,TRIATHLON CLUB DE NANTES,SE H,1125,Fr,44:29:22,23:23:16.000000,4754,7237,9591,,15242,20377,21591,23751,24920,53907,29438,32175,34677,38003,,41256,47302,51652,62006,67899,129551,75229,79628,84196,1792,1042,225,-1,1976,439,789,1731,827,1548,881,955,631,1530,-1,1304,751,1106,841,1098,1020,1050,1126,1125
1125,2600,SUJICA Sasa,AK SLJEME,V1 H,1126,HR,44:31:38,23:25:32.000000,3086,3412,5031,6868,8658,11876,13212,14528,15746,44416,19782,22752,25542,28683,,33912,38277,43987,56376,64791,125534,73601,77032,84332,1544,283,817,577,862,768,517,708,804,1740,808,954,918,618,-1,1544,902,1212,1084,1029,1055,1082,1127,1126
1126,2107,JOURNE Yohan,CCR 92,SE H,1127,Fr,44:32:21,23:26:15.000000,4027,5152,7784,,12895,18308,19824,22558,24160,54023,32752,36702,39386,43383,,49209,,56672,65099,68331,130517,75483,79731,84375,1781,1483,818,-1,863,2273,281,1727,418,1558,456,697,703,1528,-1,945,-1,623,978,1028,1054,1150,1115,1127
1127,2199,DUTERME virginie,,SE F,1127,FR,44:32:21,23:26:15.000000,4423,6469,9733,,15890,20460,22006,24881,26003,54747,33463,36708,39389,43399,,49232,,56675,65118,68337,130530,75488,79733,84375,1272,603,948,-1,546,1374,1672,434,1303,1745,735,1298,646,788,-1,762,-1,854,1132,1037,1037,1074,1123,1128
1128,2680,MAZIN benoît,TRIATHLON DE POISSY (78),SE H,1127,Fr,44:32:21,23:26:15.000000,4211,4927,7537,,11864,17536,18962,22013,23161,52339,29741,33040,35837,40636,,45984,51465,53634,62987,68557,129402,74747,78853,84375,282,1706,2280,-1,1745,1402,1677,420,601,884,1489,1538,565,1527,-1,815,884,1319,1113,1132,1043,1075,1122,1129
1129,1581,FREZIER Gilles,,SE H,1130,FR,44:32:35,23:26:29.000000,5248,7832,10797,,14864,19628,20815,23243,24412,53543,30933,33348,35590,39794,,45770,52743,55264,63482,67831,129030,74501,80427,84389,203,390,402,-1,1501,394,1889,617,434,965,954,637,1744,774,-1,1545,885,855,1028,860,1063,1147,1132,1130
1130,3145,CLAUDE Alain,,V1 H,1131,FR,44:33:23,23:27:17.000000,4172,6579,8513,,14272,18726,20630,24510,25944,55801,34282,37461,40365,44103,,50055,55374,57761,65474,68657,130615,77323,80166,84437,582,2012,371,-1,988,1968,1274,1148,626,963,953,612,1524,1083,-1,1309,909,1056,1048,1006,1093,1114,1027,1131
1131,2868,BARON Jeremy,AMICALE SPORTIVE AIR FRANCE,SE H,1132,FR,44:36:22,23:30:16.000000,4455,6205,8521,,13398,18043,19840,22964,24021,53093,33789,36131,38568,42116,,48179,53103,56057,64772,68910,129971,75344,79693,84616,2327,1200,1996,-1,285,984,1890,600,1383,964,614,881,642,773,-1,917,871,951,1122,1007,1088,1112,1151,1132
1132,3213,FROGER raphael,,SE H,1133,Fr,44:37:30,23:31:24.000000,5024,7187,9463,,15720,21144,22666,25027,26533,55905,32853,36063,38935,41985,,47254,52051,56098,64348,68497,129989,75742,79897,84684,234,1905,1564,-1,404,579,650,352,499,1532,729,639,850,654,-1,1546,827,861,1123,1047,1064,1131,1130,1133
1133,2592,VIDAL Hervé,US JOIGNY,V1 H,1134,FR,44:37:32,23:31:26.000000,4394,6104,9081,,13979,18485,19933,22274,25273,55077,31776,34880,38190,40852,,45083,49591,52385,62894,67940,129204,74723,78665,84686,2016,1543,649,-1,693,517,1465,1957,1544,1756,531,1549,776,1310,-1,1547,805,732,953,872,1140,1025,1148,1134
1134,1537,BATTIST Bruno,,V2 H,1135,FR,44:40:28,23:34:22.000000,3986,5545,8047,,12930,18280,20117,23447,24706,53534,30845,35530,38008,41691,,46802,51374,55273,66196,70377,131545,76779,80944,84862,721,262,1520,-1,1570,988,1670,507,420,1511,760,635,771,834,-1,953,803,1068,923,1106,1039,1143,1090,1135
1135,2762,BENOIST Philippe,,V1 H,1136,FR,44:41:43,23:35:37.000000,3830,5222,7241,,11965,16958,17947,20391,21879,51227,28411,30555,33092,36532,,41685,47785,51362,66250,69170,131547,76769,80942,84937,1978,330,653,-1,1746,1618,1504,1318,457,946,610,565,1019,1205,-1,954,802,1000,1124,1059,1135,1111,1117,1136
1136,638,BOISSONNEAU Jean-François,USBY-JDM,V3 H,1137,FR,44:42:34,23:36:28.000000,5048,7648,10746,,16805,22873,24116,27376,28510,57686,34511,38211,40546,45253,,51575,56175,58438,66827,69300,131377,75954,80478,84988,788,1287,988,-1,1618,575,586,835,460,1305,786,1527,775,918,-1,1548,1247,1142,996,1043,1106,1148,1144,1137
1137,3127,MALBEC José-Hugues,,V2 H,1137,FR,44:42:34,23:36:28.000000,5114,7761,11895,,18727,23052,24786,27397,29285,58950,35312,39026,41596,45948,,51583,56168,58817,66975,70111,131368,75936,80493,84988,987,1746,563,-1,778,482,1707,990,1504,986,1521,646,887,954,-1,1031,1148,1112,895,1128,1127,1113,1129,1138
1138,1519,WEHRLI Hans-Ulrich,LES CAMBE-GOUILLE(S),V1 H,1139,CH,44:43:10,23:37:04.000000,3849,5666,8973,,15164,20591,22566,26008,28554,57881,35725,38609,41417,45348,,51155,55409,59598,66674,70000,131128,75593,80592,85024,433,2341,1045,-1,1380,504,1522,944,1977,1900,1303,1209,582,955,-1,757,762,1114,1103,1012,1132,1144,1143,1139
1139,2744,LEMAIRE Stéphane,,SE H,1140,Fr,44:46:19,23:40:13.000000,3523,3760,5086,6879,8204,12253,13910,21618,22837,52878,31268,34462,36707,39854,,46720,51097,53949,63711,68916,130500,75835,79697,85213,1597,947,2343,320,440,699,300,739,766,1513,637,774,1529,1017,-1,636,1315,1146,1104,1014,1099,1138,1096,1140
1140,3233,LOUVET Jean Michel,RUN ET SENS,V2 H,1141,Fr,44:46:34,23:40:28.000000,4627,6698,9913,,16178,22867,24515,27090,28853,57618,36056,39374,41618,45525,,50904,56257,58773,66233,69891,131308,76567,80524,85228,1530,1900,435,-1,476,1344,302,1514,838,605,1524,773,1546,586,-1,633,1248,1320,1072,996,1104,1099,1136,1141
1141,3114,DELOISON JULIEN,OK AVENTURE,SE H,1142,Fr,44:49:44,23:43:38.000000,4518,6331,9010,,13359,19644,20259,22403,23612,52307,31259,33711,36308,39598,,44523,49380,52297,64397,68961,130660,76457,81205,85418,454,386,1486,-1,1523,769,637,931,1781,602,990,614,728,813,-1,1040,791,1141,1032,1077,1112,1097,1137,1143
1142,3117,DUPONT wilfried,UNITHER,SE H,1142,Fr,44:49:44,23:43:38.000000,4517,6316,8807,,13361,19617,20257,22404,23349,51700,31246,33702,36311,39226,,44262,49384,52144,64401,69410,130665,76470,81208,85418,631,691,1380,-1,422,1741,1083,1532,1552,824,987,1135,1745,812,-1,638,809,809,988,1152,1111,1136,1140,1142
1143,1223,ROCHAT Jean-Louis,,V2 H,1144,CH,44:50:40,23:44:34.000000,5111,8387,11828,,17693,22193,23417,25661,26820,56277,34505,37353,40664,44148,,48891,52892,56093,64418,68675,131158,76829,80456,85474,1944,545,476,-1,261,657,432,1504,1517,712,887,727,1526,1548,-1,787,792,1133,989,1103,1102,1135,1138,1144
1144,1336,GARCIA GUERRERO Francisco,ALPINO JARAPALOS,V1 H,1145,ES,44:52:33,23:46:27.000000,3997,5264,8514,,12419,15675,,18522,19327,48779,25863,27613,30181,32882,,37206,,46593,,66863,128782,75766,80350,85587,2005,1744,164,-1,1734,1514,-1,435,305,623,981,558,584,827,-1,1034,-1,1045,-1,999,1042,1140,1108,1145
1145,1890,DE MEERLER pierre,AS CUCUFA,V2 H,1146,FR,44:53:15,23:47:09.000000,4091,6292,8844,,13592,18411,19908,22027,23621,52228,31238,33785,37792,40730,,45252,50049,53378,63040,68035,128708,75817,81008,85629,860,665,1635,-1,465,1286,585,436,1742,1979,1576,631,799,1135,-1,906,968,903,981,953,1047,1109,1135,1146
1146,2302,VALTAKIS Evangelos,OLYMPUS MARATHON,SE H,1147,GR,44:54:12,23:48:06.000000,3707,4945,7192,,10936,14175,15434,17794,18745,48574,25253,27945,31060,34144,,39589,45517,52238,65219,70696,130991,76591,81476,85686,2187,2241,1546,-1,1735,1285,1907,1491,1982,810,635,1746,1308,1111,-1,779,681,1044,1002,1150,1041,1141,1134,1147
1147,640,HAMEL Jean-Sébastien,,SE H,1148,FR,44:54:55,23:48:49.000000,4723,5622,8178,,11463,16383,,20291,21003,49530,28509,31445,34234,37910,,41883,46872,50083,61367,65631,128538,74789,81573,85729,226,1549,1284,-1,591,1733,-1,460,771,1464,697,1083,1534,1109,-1,845,680,1016,1095,1042,1129,1139,1145,1148
1148,3001,DENAIX Claude,ASPTT,V2 F,1149,FR,44:59:24,23:53:18.000000,4480,6292,8840,,14017,18778,20019,22645,24135,53696,30566,33391,35951,40076,,44713,50179,54118,62482,67400,129922,75704,80214,85998,264,1474,1549,-1,559,1697,1104,805,553,1746,489,669,727,633,-1,576,942,1015,1093,1057,1015,1145,1141,1149
1149,1485,MALDONADO GONZALEZ PEDRO MANUEL,CLUB MONTANA EL BOQUERON,SE H,1150,ES,45:40:41,24:34:35.000000,3993,5269,7387,,10663,15252,,19605,21661,50016,25878,26709,29783,31514,,37252,,49243,59875,65579,128800,75803,82149,88475,785,1961,1807,-1,948,351,-1,457,1985,1699,1899,771,1746,761,-1,763,-1,895,908,1130,1126,1116,1142,1150
1150,1117,NOUSBAUM Francois,,V2 H,1151,FR,46:23:06,25:17:00.000000,5724,9014,11780,,17015,21662,22912,,27030,56291,35013,37912,40137,42639,,47988,52856,56508,65479,68627,130321,74959,78854,91020,580,563,1291,-1,1987,902,864,-1,1299,1980,1295,1530,742,762,-1,987,1250,1022,1038,1019,1125,1027,1146,1151
1151,1351,ORTIGOSA YANEZ Elias,CLUB ALPINO JARAPALOS,SE H,1152,Es,46:23:07,25:17:01.000000,3996,4920,7398,,10858,15998,,22656,23359,53041,33556,34780,36299,39342,,47410,53093,60455,65315,69285,130931,75662,80124,91021,406,564,1396,-1,602,366,-1,1115,1507,582,880,1579,1319,859,-1,990,1057,986,922,988,1089,1090,1147,1152
1152,1605,MICHEL nicolas, ,SE H,1153, , , ,4977,7235,9569,,14679,,20228,22721,24301,53469,32183,35599,38321,41772,,46285,51377,55357,64344,68612,129723,75169,79632,,727,568,1617,-1,525,-1,478,1113,1750,1738,1379,776,753,998,-1,916,1055,695,1059,991,1085,1134,1149,-1
1153,179,PETERS Ton, ,V2 H,1154, , , ,3765,4252,6002,7154,7867,9936,10364,11813,12353,40961,15694,16585,17429,18739,,20439,22512,23742,26894,30126,95845,41204,,,1836,451,338,401,564,652,567,1114,780,1295,644,775,752,901,-1,448,935,1321,1086,1143,1017,1133,-1,-1
1154,602,PACCARD Michel, ,V1 H,1155, , , ,3228,3533,5237,7298,8329,11187,11815,13357,14141,42961,17987,19479,20656,22520,,24461,26289,27042,30931,33931,95934,44233,,,644,334,1786,156,430,944,725,1143,443,1501,1593,489,954,902,-1,1307,743,978,961,1033,1079,1142,-1,-1
1155,1809,DURGNAT Yvette, ,V3 F,1156, , , ,4703,6206,7871,,12060,15436,,19407,20338,48854,27113,28454,29919,31983,,34322,36517,37663,47854,52680,113848,61635,,,1208,550,1306,-1,687,328,-1,1539,986,801,1559,1204,955,960,-1,818,913,1209,1112,1072,1123,1129,-1,-1
1156,996,CHIRAT Jean-Marc, ,SE H,1157, , , ,2432,2015,3449,4512,5669,7721,8106,8775,9306,37288,,10292,10458,11326,,12588,13651,14713,18541,20521,80764,,,,930,654,1378,155,950,1530,439,985,740,990,-1,699,917,666,-1,1549,914,1061,1097,961,1124,-1,-1,-1
1157,3101,DUPONT Pascal, ,V1 H,1158, , , ,4477,5765,8696,,14452,,20550,23220,24231,52872,29455,32122,35022,38745,,44913,49974,54351,63417,68409,131556,,,,2429,1764,478,-1,1496,-1,709,1494,398,1981,936,768,1134,502,-1,1550,1251,971,969,1082,1146,-1,-1,-1
1158,2656,ROUSSET GUILLAUME, ,SE H,1159, , , ,2189,1056,1644,2144,2340,3555,3428,3852,4006,31809,4681,4620,4910,5923,,6914,7152,7809,12218,17183,,,,,1128,469,262,113,1749,285,620,1531,1744,1320,1517,769,614,790,-1,1551,873,1097,855,1116,-1,-1,-1,-1
1159,2299,VENETIKIDIS Dimitrios, ,V2 H,1160, , , ,2379,1519,2103,2597,3238,4897,5113,5788,6219,120,8179,8561,9195,10497,,11745,12512,13590,16223,18180,,,,,588,242,2015,485,1497,1296,1166,552,1145,913,699,1525,639,789,-1,1204,815,1064,958,987,-1,-1,-1,-1
1160,27,MATHIAN Jean Marie, ,V1 H,1161, , , ,2042,887,1804,2094,2510,3782,4017,4730,5439,119,7472,8278,8971,10996,,12184,13125,13909,17117,19914,,,,,434,506,1128,313,1305,636,687,1950,987,878,1539,642,637,1019,-1,1123,609,1067,1089,995,-1,-1,-1,-1
1161,70,SICURELLI Ernesto, ,V2 H,1162, , , ,2901,2412,3247,4094,5053,6475,6856,7799,8455,37032,11010,11708,12317,14117,,15209,16628,17069,19049,21098,,,,,459,1530,1018,213,410,427,540,763,1468,550,917,709,1548,937,-1,1552,731,702,887,1062,-1,-1,-1,-1
1162,2609,SAVOY Olivier, ,SE H,1163, , , ,2079,1286,2096,2616,3140,4223,4325,4707,5127,123,7930,7779,8196,9272,,10441,11935,12826,15912,21714,,,,,180,2352,2002,632,1597,1505,568,1959,992,1504,1528,711,948,846,-1,532,1002,1322,1025,1065,-1,-1,-1,-1
1163,3082,SALGADO MANGAS JOSE ANTONIO, ,V1 H,1164, , , ,3498,2936,3751,5265,6087,7954,8487,9746,10601,38575,14054,14471,14931,15845,,16424,17625,17797,20972,23103,,,,,198,1988,767,225,1500,496,565,414,1324,496,639,762,562,792,-1,781,874,1071,1107,1105,-1,-1,-1,-1
1164,2080,CROSET Bruno, ,V1 H,1165, , , ,1912,1547,2815,3544,4352,6167,6628,7794,8499,36832,11451,12249,12941,14359,,15734,17663,19455,23915,26513,,,,,1753,1805,1647,203,207,1776,570,1730,1975,1379,1535,1582,1083,1526,-1,718,992,1019,1108,1101,-1,-1,-1,-1
1165,3203,URZELAI Benat, ,SE H,1166, , , ,2456,1957,3402,5385,6450,8841,9604,10889,11460,39644,14056,14772,15513,17224,,19596,21583,22726,25648,26760,,,,,1793,1554,241,438,694,1092,492,691,808,872,1202,1583,711,819,-1,736,1316,1094,1001,868,-1,-1,-1,-1
1166,3272,AUBERIX Lionel, ,SE H,1167, , , ,2681,1974,2818,3307,4028,5887,6265,7324,8091,36151,12699,12944,13450,14538,,16469,18673,19760,25683,26966,,,,,789,1784,307,578,890,501,1266,986,764,1701,1693,1517,709,1308,-1,657,1013,1095,1193,1131,-1,-1,-1,-1
1167,184,PRIGENT Loïc, ,SE H,1168, , , ,2537,1878,2904,3911,4366,5927,6485,7749,8422,36430,11060,12153,13148,14964,,16845,18558,19330,24668,26983,,,,,1143,1294,977,145,1985,809,1103,639,654,805,1384,799,693,780,-1,1110,695,1063,1041,1139,-1,-1,-1,-1
1168,93,COUDURIER Olivier, ,SE H,1169, , , ,2618,1799,2680,3363,3766,5907,6129,7081,7622,35608,9912,10505,11283,13494,,15541,17282,18157,23198,27066,,,,,469,483,2017,148,1564,1528,1281,1724,734,1145,646,753,668,637,-1,1108,768,1060,1126,1080,-1,-1,-1,-1
1169,3204,FOUQUES Pascale, ,V1 F,1170, , , ,3235,3311,4663,5430,6520,8828,9479,10675,11420,39571,13629,14261,15121,16594,,18194,19745,20888,24851,27828,,,,,584,428,1598,168,1755,2013,566,1739,1759,452,1702,752,789,639,-1,714,766,924,1068,1078,-1,-1,-1,-1
1170,2594,RIGHETTI Fabrizio, ,V1 H,1171, , , ,3467,3476,4638,5426,6464,8312,8911,9852,10724,39060,12987,13834,14715,15380,,18158,20866,21812,25310,28524,,,,,1697,1610,637,542,554,1144,549,913,1381,687,758,703,603,946,-1,713,1082,919,1070,1050,-1,-1,-1,-1
1171,2652,ALLAIRE Pierre, ,V1 H,1172, , , ,2667,2215,3063,3939,4853,6342,6959,7861,8526,36985,12043,12943,13729,15150,,16467,18672,19758,25715,28570,,,,,346,966,960,629,1529,883,1280,1368,824,688,1759,754,587,1001,-1,846,993,1323,1069,1141,-1,-1,-1,-1
